Name,Location,Zip,Programs,Center Phone,Region
OKMD - OU Medical Center,"Oklahoma City, OK",73104,"Kidney, Liver, Pancreas",405-271-8000,4
ORUO - Oregon Health and Science University,"Portland, OR",97239,"Heart, Kidney, Liver, Pancreas",800-452-1369,6
ORVA - VA Portland Health Care System,"Portland, OR",97239,"Kidney, Liver",800-949-1004,6
UTLD - Intermountain Medical Center,"Murray, UT",84107,"Heart, Kidney, Liver, Pancreas",866-439-0480,5
UTMC - University of Utah Medical Center,"Salt Lake City, UT",84132,"Heart, Heart-Lung, Kidney, Liver, Lung, Pancreas",801-581-2121,5
WASM - Swedish Medical Center,"Seattle, WA",98104,"Kidney, Liver, Pancreas",206-386-6000,6
WAUW - University of Washington Medical Center,"Seattle, WA",98195,"Heart, Heart-Lung, Intestine (inactive ), Kidney, Liver, Lung, Pancreas",866-894-3278,6
WIUW - University of Wisconsin Hospital and Clinics,"Madison, WI",53792,"Heart, Heart-Lung, Kidney, Liver, Lung, Pancreas",608-263-6400,7
WISE - Froedtert Memorial Lutheran Hospital,"Milwaukee, WI",53226,"Heart, Heart-Lung, Kidney, Liver, Lung",800-805-4700,7
WISL - Aurora St. Luke's Medical Center,"Milwaukee, WI",53215,"Heart, Kidney, Liver, Pancreas",888-863-5502,7
